Name,Price,Volume,24HrDelta,Time
BCD,$ 0.9102,$ 2.57 M,-4.97%, 2019-04-28 14:04:36
TRIO,$ 0.002602,$ 2.53 M,2.50%, 2019-04-28 14:04:36
SKM,$ 0.003344,$ 2.48 M,-1.40%, 2019-04-28 14:04:36
KNC,$ 0.2326,$ 2.50 M,1.10%, 2019-04-28 14:04:36
HC,$ 1.15,$ 2.39 M,-2.29%, 2019-04-28 14:04:36
LOOM,$ 0.06403,$ 2.25 M,7.94%, 2019-04-28 14:04:36
MOF,$ 0.05551,$ 2.17 M,-6.67%, 2019-04-28 14:04:36
REP,$ 21.39,$ 2.12 M,-1.88%, 2019-04-28 14:04:36
ITC,$ 0.1226,$ 2.12 M,0.61%, 2019-04-28 14:04:36
DROP,$ 0.0005997,$ 2.11 M,0.80%, 2019-04-28 14:04:36
THETA,$ 0.09885,$ 2.08 M,-3.71%, 2019-04-28 14:04:36
ZIP,$ 0.0004763,$ 2.07 M,-10.00%, 2019-04-28 14:04:36
TNB,$ 0.005451,$ 2.05 M,-1.90%, 2019-04-28 14:04:36
VIB,$ 0.03810,$ 2.04 M,0.00%, 2019-04-28 14:04:36
KAN,$ 0.004181,$ 2.03 M,-1.25%, 2019-04-28 14:04:36
KCS,$ 1.16,$ 2.03 M,-1.17%, 2019-04-28 14:04:36
GNT,$ 0.07504,$ 2.03 M,-0.14%, 2019-04-28 14:04:36
AGI,$ 0.03837,$ 1.96 M,3.57%, 2019-04-28 14:04:36
QLC,$ 0.03170,$ 1.91 M,-8.55%, 2019-04-28 14:04:36
Name,Price,Volume,24HrDelta,Time
Name,Price,Volume,24HrDelta,Time
BTC,"$ 5,287.66",$ 1.80 B,0.48%, 2019-04-28 14:07:45
ETH,$ 158.35,$ 1.27 B,-0.95%, 2019-04-28 14:07:45
EOS,$ 4.87,$ 681.48 M,0.41%, 2019-04-28 14:07:45
LTC,$ 69.22,$ 555.29 M,-4.05%, 2019-04-28 14:07:45
XRP,$ 0.2970,$ 239.85 M,-0.34%, 2019-04-28 14:07:45
BCH,$ 255.13,$ 239.01 M,-3.80%, 2019-04-28 14:07:45
ZB,$ 0.3160,$ 154.98 M,4.46%, 2019-04-28 14:07:45
TRX,$ 0.02332,$ 142.03 M,0.41%, 2019-04-28 14:07:45
BNB,$ 22.77,$ 133.45 M,1.20%, 2019-04-28 14:07:45
BGG,$ 0.001438,$ 109.09 M,-1.94%, 2019-04-28 14:07:45
ETC,$ 5.54,$ 107.94 M,-0.72%, 2019-04-28 14:07:45
ZEC,$ 62.17,$ 102.44 M,-1.22%, 2019-04-28 14:07:45
OKB,$ 1.62,$ 88.78 M,3.45%, 2019-04-28 14:07:45
NEO,$ 9.70,$ 84.33 M,-0.41%, 2019-04-28 14:07:45
DASH,$ 113.15,$ 78.11 M,1.00%, 2019-04-28 14:07:45
ATOM,$ 4.87,$ 77.96 M,44.94%, 2019-04-28 14:07:45
QTUM,$ 2.38,$ 67.85 M,-0.86%, 2019-04-28 14:07:45
XLM,$ 0.09926,$ 56.59 M,-0.58%, 2019-04-28 14:07:45
XMR,$ 62.66,$ 55.42 M,-1.34%, 2019-04-28 14:07:45
USDT,$ 0.9968,$ 51.78 M,0.36%, 2019-04-28 14:07:45
ONT,$ 1.11,$ 47.59 M,-3.01%, 2019-04-28 14:07:45
BSV,$ 53.10,$ 42.84 M,-1.34%, 2019-04-28 14:07:45
ADA,$ 0.06933,$ 40.24 M,-1.84%, 2019-04-28 14:07:45
BTT,$ 0.0006874,$ 39.29 M,0.00%, 2019-04-28 14:07:45
PAX,$ 1.00,$ 34.94 M,0.00%, 2019-04-28 14:07:45
AE,$ 0.4582,$ 32.91 M,-1.90%, 2019-04-28 14:07:45
TRUE,$ 0.6255,$ 30.69 M,-1.99%, 2019-04-28 14:07:45
OMG,$ 1.58,$ 29.16 M,-1.86%, 2019-04-28 14:07:45
BAT,$ 0.4130,$ 28.45 M,6.94%, 2019-04-28 14:07:45
HT,$ 2.29,$ 26.69 M,3.95%, 2019-04-28 14:07:45
ABT,$ 0.2206,$ 25.41 M,8.24%, 2019-04-28 14:07:45
TUSD,$ 1.03,$ 21.24 M,1.03%, 2019-04-28 14:07:45
CELR,$ 0.01132,$ 14.03 M,-2.73%, 2019-04-28 14:07:45
DENT,$ 0.0009518,$ 15.37 M,12.50%, 2019-04-28 14:07:45
IOST,$ 0.01068,$ 12.03 M,-9.01%, 2019-04-28 14:07:45
SNT,$ 0.02284,$ 11.88 M,-1.37%, 2019-04-28 14:07:45
TCH,$ 0.01988,$ 11.83 M,-1.83%, 2019-04-28 14:07:45
IOT,$ 0.2620,$ 10.90 M,-2.57%, 2019-04-28 14:07:45
ORBS,$ 0.03918,$ 8.73 M,7.39%, 2019-04-28 14:07:45
GXS,$ 1.07,$ 8.50 M,-4.40%, 2019-04-28 14:07:45
MONA,$ 1.03,$ 8.17 M,11.03%, 2019-04-28 14:07:45
ZRX,$ 0.2755,$ 7.38 M,-2.65%, 2019-04-28 14:07:45
MANA,$ 0.05007,$ 7.32 M,1.50%, 2019-04-28 14:07:45
VET,$ 0.006109,$ 6.54 M,-1.73%, 2019-04-28 14:07:45
BIX,$ 0.3272,$ 6.44 M,2.28%, 2019-04-28 14:07:45
XEM,$ 0.05779,$ 6.23 M,-3.02%, 2019-04-28 14:07:45
GTO,$ 0.03146,$ 6.16 M,-0.67%, 2019-04-28 14:07:45
RVN,$ 0.05304,$ 6.02 M,-5.29%, 2019-04-28 14:07:45
BZ,$ 0.1005,$ 5.88 M,3.65%, 2019-04-28 14:07:45
FET,$ 0.1476,$ 5.81 M,-1.34%, 2019-04-28 14:07:45
USDC,$ 1.03,$ 5.66 M,1.38%, 2019-04-28 14:07:45
WAVES,$ 2.09,$ 5.38 M,-3.35%, 2019-04-28 14:07:45
DOGE,$ 0.002485,$ 5.29 M,-2.08%, 2019-04-28 14:07:45
ZIL,$ 0.01756,$ 5.12 M,-1.78%, 2019-04-28 14:07:45
BTS,$ 0.05330,$ 4.77 M,0.20%, 2019-04-28 14:07:45
NANO,$ 1.59,$ 4.64 M,1.66%, 2019-04-28 14:07:45
CTXC,$ 0.1587,$ 4.56 M,11.85%, 2019-04-28 14:07:45
NAS,$ 1.06,$ 4.51 M,1.85%, 2019-04-28 14:07:45
BMX,$ 0.02700,$ 4.50 M,0.35%, 2019-04-28 14:07:45
QKC,$ 0.03284,$ 4.19 M,3.33%, 2019-04-28 14:07:45
SOLVE,$ 0.07905,$ 4.04 M,-15.92%, 2019-04-28 14:07:45
NULS,$ 0.7323,$ 4.02 M,-0.22%, 2019-04-28 14:07:45
XAS,$ 0.1612,$ 3.99 M,-1.71%, 2019-04-28 14:07:45
SWFTC,$ 0.002168,$ 3.88 M,2.50%, 2019-04-28 14:07:45
ABBC,$ 0.1514,$ 3.84 M,4.03%, 2019-04-28 14:07:45
BTM*,$ 0.09835,$ 3.78 M,-1.80%, 2019-04-28 14:07:45
MITH,$ 0.04738,$ 3.74 M,-2.61%, 2019-04-28 14:07:45
ENJ,$ 0.1557,$ 3.54 M,-1.70%, 2019-04-28 14:07:45
ELF,$ 0.1634,$ 3.42 M,-1.59%, 2019-04-28 14:07:45
ICX,$ 0.3521,$ 3.15 M,-2.90%, 2019-04-28 14:07:45
